Assembly No,Assembly Name,Panchayat (मुख्य शहर/ गाँव),Booth No,Booth Name,Total voters,Male voters,Female voters
72,सिंहेश्वर,दुलार,18,"उत्क्रमित मध्य विद्यालय, पिपराही न0-2 दायाँ भाग",985,517,468
72,सिंहेश्वर,रायभीर,180,"मध्य विद्यालय, रायभीर, दक्षिण भाग",988,513,475
72,सिंहेश्वर,रायभीर,181,"उत्क्रांमित मध्य विद्यालय, रायभीर छपरिया टोला",1075,553,522
72,सिंहेश्वर,रायभीर,182,"उत्क्रमित मध्य विद्यालय, खाप टोला रायभीड दाया भाग",643,331,312
72,सिंहेश्वर,रायभीर,183,"उत्क्रमित मध्य विद्यालय, खाप टोला रायभीड़ बायाँ भाग",617,315,302
72,सिंहेश्वर,रायभीर,184,"मध्य विद्यालय बसंतपुर दक्षिण, दाया भाग",956,488,468
72,सिंहेश्वर,बंसतपुर,185,"मध्य विद्यालय बसंतपुर दक्षिण, बायाँ भाग",663,349,314
72,सिंहेश्वर,बंसतपुर,186,"उत्क्रांमित मध्य विद्यालय, बसंतपुर उत्तर टोला दाया भाग",733,399,334
72,सिंहेश्वर,बंसतपुर,187,"उत्क्रांमित मध्य विद्यालय, बसंतपुर उत्तर टोला बाया भाग",769,394,375
72,सिंहेश्वर,विशनपुर सुन्दर,188,"उत्क्रमित मध्य विद्यालय, कांकड़, दायां भाग",738,405,333
72,सिंहेश्वर,विशनपुर सुन्दर,189,"उत्क्रमित मध्य विद्यालय, कांकड़, बायां भाग",903,504,399
72,सिंहेश्वर,दुलार,19,"मध्य विद्यालय, दुलार पूरब भाग बाया",1161,621,540
72,सिंहेश्वर,विशनपुर सुन्दर,190,"प्राथमिक विद्यालय, पथराहा, दायां भाग",815,426,389
72,सिंहेश्वर,विशनपुर सुन्दर,191,"प्राथमिक विद्यालय, पथराहा, बायां भाग",792,417,375
72,सिंहेश्वर,विशनपुर सुन्दर,192,"उत्क्रमित मध्य विद्यालय, परसाही, दायाँ भाग",975,541,434
72,सिंहेश्वर,विशनपुर सुन्दर,193,"उत्क्रमित मध्य विद्यालय, परसाही, बायाँ भाग पश्चिम",694,359,335
72,सिंहेश्वर,विशनपुर सुन्दर,194,"उत्क्रमित मध्य विद्यालय, परसाही, बायाँ भाग पूरब",688,331,357
72,सिंहेश्वर,विशनपुर सुन्दर,195,"उत्क्रमित उच्च विद्यालय, कुपाड़ी, दायाँ भाग",1000,507,493
72,सिंहेश्वर,विशनपुर सुन्दर,196,"उत्क्रमित उच्च विद्यालय, कुपाड़ी, बायाँ भाग",1049,571,478
72,सिंहेश्वर,विशनपुर सुन्दर,197,"उत्क्रमित मध्य विद्यालय, लक्ष्मीनियाँ, दायाँ भाग",896,469,427
72,सिंहेश्वर,विशनपुर सुन्दर,198,"उत्क्रमित मध्य विद्यालय, लक्ष्मीनियाँ, बायाँ भाग",939,514,425
72,सिंहेश्वर,विशनपुर सुन्दर,199,"गुदर मध्य विद्यालय, विशनपुर, बायां भाग दक्षिण",972,521,451
